MAPID	MAPSETID	MAPCONCEPTID	MAPOPTION	MAPGROUP	MAPPRIORITY	MAPTARGETID	MAPCATEGORY	MAPRULE	MAPADVICE
44886063	110040	233604007	4	1	4	6034056	31		IFA: Inhalation or aspiration pneumonia due to foreign materials  - Pneumonitis due to inhalation of oils and essences
16964069	110040	165816005	4	1	4	7666055	31		IFA: Nonspecific serologic evidence of HIV
176001064	110040	84017003	6	1	6	7067050	31		IFA: Frozen shoulder
9412068	110040	127040003	1	1	1	4688054	11		OTHERWISE
174073064	110040	43724002	1	1	1	9542108054	11		OTHERWISE
168379062	110040	386738004	1	1	1	9542108054	11		OTHERWISE
6737061	110040	125665001	1	1	1	8736057	12		OTHERWISE
171925069	110040	253011004	1	1	1	4439055	11		OTHERWISE
35823064	110040	213148006	1	1	1	2729050	12		OTHERWISE
38426062	110040	21698002	1	1	1	2200054	12		OTHERWISE
174167063	110040	45564002	1	1	1	1702056	31		IFA: Congenital cardiospasm
174287067	110040	48531003	1	1	1	1702056	31		IFA: Congenital cardiospasm
171748065	110040	239867006	1	1	1	7017056	31		IFA: Marie-Strumpell spondylitis
171751064	110040	239872002	1	1	1	7017056	31		IFA: Marie-Strumpell spondylitis
175243068	110040	68267002	2	1	2	4957053	11		OTHERWISE
171487069	110040	202317007	3	1	3	1567053	31		IFA: Spine
175450069	110040	73749009	1	1	1	7604055	11		OTHERWISE
170660068	110040	92380000	4	1	4	4393056	11		OTHERWISE
174585061	110040	55929007	1	1	1	2083055	11		OTHERWISE
100970061	110040	301003007	3	1	3	1036055	31		IFA: Inhalation or aspiration pneumonia due to foreign materials  -Pneumonitis due to inhalation of food or vomitus
45311060	110040	233819005	2	1	2	5742059	12		OTHERWISE
100932060	110040	300995000	2	1	2	5742059	11		OTHERWISE
171816063	110040	24565001	1	1	1	6549058	31		IFA: Erosion or ectropion without mention of cervicitis
48896060	110040	237084006	2	2	2	6549058	11		OTHERWISE
26322064	110040	197811007	1	1	1	1167056	11		OTHERWISE
172291064	110040	271607001	1	1	1	5418059	31		IFA: Hypertrichosis of eyelid
173152067	110040	352818000	3	1	3	1831053	31		IFA: Convulsions: Infantile
175996066	110040	84017003	1	1	1	3694051	31		IFA: Bursitis: gonococcal
23672061	110040	193253000	1	1	1	6890050	11		OTHERWISE
173657061	110040	398036000	1	1	1	4637051	11		OTHERWISE
176673061	110040	95549001	7	1	7	8547054	32		IFA: Traumatic rupture of blood vessel: upper extremity (903.x)
171997068	110040	255107005	1	1	1	4077057	11		OTHERWISE
173708065	110040	40421008	1	1	1	9549851052	11		OTHERWISE
171794068	110040	24121004	3	1	3	9550296050	20		UAC
135345067	110040	45170000	1	1	1	606057	12		OTHERWISE
8194065	110040	126669004	3	1	3	239051	31		IFA: Great vessels
171730062	110040	239107007	2	1	2	7515059	11		OTHERWISE
176261065	110040	89627008	1	1	1	317052	11		OTHERWISE
172112060	110040	26594006	1	1	1	4925052	11		OTHERWISE
175150063	110040	66631006	1	1	1	413050	31		IFA: Brief compensatory or rebound mood swings
171848064	110040	247803002	4	1	4	413050	11		OTHERWISE
173421060	110040	372054004	1	1	1	9541360053	11		OTHERWISE
174808067	110040	60573004	2	1	2	5695050	32		IFA: That specified as,rheumatic (395.0-395.9)
40744069	110040	22173004	1	1	1	6723053	11		OTHERWISE
21536068	110040	188498009	1	1	1	9534366059	12		OTHERWISE
176581067	110040	94101009	1	1	1	3877052	12		OTHERWISE
10817061	110040	128608001	2	1	2	5854050	31		IFA: Internal carotid artery, extracranial portion
23522067	110040	193031009	1	1	1	670054	11		OTHERWISE
108808069	110040	35064005	3	1	3	7627050	31		IFA: Hematemesis and melena due to swallowed maternal blood
36790069	110040	21454007	2	1	2	5809054	11		OTHERWISE
40052060	110040	21850008	1	1	1	1065053	32		IFA: Dentofacial anomalies (524.0x-524.9)
26696060	110040	19843006	1	1	1	6871055	11		OTHERWISE
21940065	110040	189336000	3	1	3	4474059	11		OTHERWISE
172877060	110040	304213008	2	1	2	6731056	32		IFA: Pyrexia of unknown origin during,labor
175538061	110040	7520000	2	1	2	6731056	32		IFA: Pyrexia of unknown origin during,labor
174715066	110040	5876000	11	1	11	9553611050	31		IFA: Pancytopenia (due to) (with),other constitutional aplastic anemia
171315068	110040	17602002	1	1	1	9553581053	12		OTHERWISE
171126066	110040	127034005	2	1	2	9555503050	31		IFA: Pancytopenia (due to) (with),bone marrow infiltration - Myelophthisis
102460061	110040	303011007	1	1	1	9553612056	12		OTHERWISE
173052065	110040	32914008	1	1	1	9570407051	11		OTHERWISE
145167061	110040	68235000	1	1	1	9553655057	11		OTHERWISE
171591063	110040	225564006	1	1	1	9553655057	11		OTHERWISE
140922068	110040	58411009	1	1	1	9555457058	31		IFA: Cracked tooth
144389063	110040	66383009	1	1	1	9553662053	11		OTHERWISE
171556065	110040	21638000	1	1	1	9553664054	11		OTHERWISE
140302061	110040	5689008	1	1	1	9553665050	12		OTHERWISE
176169063	110040	87433001	8	1	8	6056058	31		IFA: Emphysema: mediastinal
26385064	110040	197919005	1	1	1	1178051	12		OTHERWISE
22210063	110040	190634004	3	1	3	4683058	32		IFA: Deficiency anemias (281.0-281.9)
174581069	110040	55822004	1	1	1	305050	11		OTHERWISE
172222061	110040	267981009	1	1	1	7061051	11		OTHERWISE
173669068	110040	39839004	2	1	2	7378054	31		IFA: Congential,hiatal hernia
17033062	110040	16632002	6	1	6	9536933051	31		IFA: Traumatic (860.2-860.5, 862.29, 862.39) - Injury to other specified intrathoracic organs with open wound into cavity
22832061	110040	191845006	1	1	1	9534809059	11		OTHERWISE
10710066	110040	128462008	1	1	1	4167057	11		OTHERWISE
127688064	110040	415176004	1	1	1	9549924050	12		OTHERWISE
23133061	110040	19240003	1	1	1	6822052	12		OTHERWISE
174055062	110040	43339004	1	1	1	4662051	11		OTHERWISE
174237061	110040	47270006	1	1	1	261059	31		IFA: Congenital adrenal hyperplasia
12446068	110040	14540002	1	1	1	5925056	11		OTHERWISE
175452062	110040	73867007	1	1	1	407059	32		IFA: Circular type, if previous attack was of manic type (296.5x)
173342064	110040	370143000	1	1	1	407059	32		IFA: Circular type, if previous attack was manic (296.5x)
172530061	110040	281398003	5	1	5	1972051	31		IFA: Abdominal distention (gaseous)
171824067	110040	247124009	1	1	1	709055	31		IFA: Acquired
172867062	110040	30288003	2	1	2	7296055	31		IFA: Single ventricle
5282068	110040	119424003	8	1	8	4404055	11		OTHERWISE
175781060	110040	79883001	3	1	3	4404055	31		IFA: Neoplastic cysts
172204064	110040	267854005	2	1	2	6868050	11		OTHERWISE
173797066	110040	409673008	1	1	1	2018057	11		OTHERWISE
175953062	110040	83132003	2	1	2	1196055	32		GAMR: Male: Symptoms referable to genital organs (607.0-607.9)
172595068	110040	285375003	1	1	1	1196055	12		OTHERWISE
175471060	110040	74285003	5	1	5	1196055	32		GAMR: Male: Symptoms referable to genital organs (607.0-607.9)
176417061	110040	9209005	2	1	2	1196055	32		GAMR: Male (607.0-607.9)
171637068	110040	23006000	1	1	1	1440057	12		OTHERWISE
23150064	110040	19242006	9	1	9	9550194059	32		IFA: Hypostatic pneumonia due to or specified as specific type of pneumonia - code to the type of pneumonia (480-480.9, 481, 482.0-482.49, 483.0-483.9, 485, 486, 487.0) - Pneumonia due to Staphylococcus, unspecified
19175068	110040	17450006	1	1	1	615051	11		OTHERWISE
175012066	110040	64572001	1	1	1	2088051	12		OTHERWISE
165808064	110040	230461009	1	1	1	4964050	31		IFA: Atypical face pain
170922062	110040	95668009	1	1	1	4964050	31		IFA: Atypical face pain
37407067	110040	21615003	1	1	1	4964050	31		IFA: Atypical face pain
173436062	110040	372292006	1	1	1	9541361052	12		OTHERWISE
174752066	110040	59848001	1	1	1	1706058	31		IFA: Congenital choledochal cys
108189061	110040	33688009	1	1	1	1706058	31		IFA: Congenital choledochal cyst
172749060	110040	298382003	1	1	1	1652056	11		OTHERWISE
3668064	110040	111266001	1	1	1	1652056	11		OTHERWISE
6735068	110040	125663008	1	1	1	8465051	11		OTHERWISE
172649066	110040	288236006	1	1	1	4982053	12		OTHERWISE
175917064	110040	82473003	4	1	4	4982053	32		IFA: Mononeuritis (354.x)
174373069	110040	50582007	1	1	1	649056	12		OTHERWISE
586065	110040	102616008	1	1	1	1079058	11		OTHERWISE
174922068	110040	62629000	1	1	1	6762057	32		IFA: Diastasis recti complicating pregnancy
48099065	110040	236433006	1	1	1	6401053	12		OTHERWISE
141362068	110040	59455009	2	1	2	318055	11		OTHERWISE
171295065	110040	166717003	1	1	1	2073059	11		OTHERWISE
172441061	110040	277879009	1	1	1	4928054	12		OTHERWISE
174086067	110040	43982006	2	1	2	6844055	11		OTHERWISE
65161065	110040	26237000	12	1	12	1876053	11		OTHERWISE
68868061	110040	271809000	12	1	12	1876053	11		OTHERWISE
57138066	110040	247398009	2	1	2	7054052	31		IFA: Cervical radiculitis
57137062	110040	247398009	1	1	1	7054052	31		IFA: Brachial radiculitis
12555069	110040	14893008	1	1	1	8902056	12		OTHERWISE
172085067	110040	263134008	1	1	1	2301050	12		OTHERWISE
171416065	110040	196001008	2	1	2	9547225054	32		IFA: Chronic obstructive lung disease (COPD) specified,asthma
41199064	110040	22455005	2	1	2	3552055	11		OTHERWISE
174132063	110040	44865000	1	1	1	7623054	31		IFA: Polycythemia,neonatal
171158062	110040	128287004	3	1	3	6201050	11		OTHERWISE
176175066	110040	87486003	1	1	1	9535175058	31		IFA: Aphasia due to late effects of cerebrovascular disease
127611060	110040	414941008	1	1	1	3729056	11		OTHERWISE
171384062	110040	194781004	13	3	13	1157053	12		OTHERWISE
173506067	110040	38342005	3	2	3	9541000055	22		PR:assault
175868062	110040	81639003	1	1	1	2091051	11		OTHERWISE
173340066	110040	36971009	1	1	1	1015057	12		OTHERWISE
172303066	110040	271757001	2	1	2	1874051	11		OTHERWISE
168328067	110040	38343000	1	1	1	1249058	11		OTHERWISE
176670063	110040	95549001	4	1	4	8495056	32		IFA: Traumatic rupture of blood vessel:  head and neck  (900.x)
171492066	110040	202373004	3	1	3	1511058	11		OTHERWISE
119217064	110040	398665005	5	1	5	7651058	32		IFA: Shock NOS
102264067	110040	302866003	3	1	3	4626050	31		IFA: Leucine-induced
175825063	110040	80515008	1	1	1	7662058	11		OTHERWISE
895069	110040	10317009	1	1	1	7018053	11		OTHERWISE
120264068	110040	401110002	1	1	1	9534536052	11		OTHERWISE
174375063	110040	50792001	1	1	1	768053	12		OTHERWISE
5134068	110040	11851006	5	1	5	5700056	32		IFA: The listed conditions specified unspecified as to cause but with mention of diseases of aortic valve (396.0-396.9)
174809060	110040	60573004	3	1	3	5700056	32		IFA: That of unspecified cause but with mention of diseases of mitral valve (396.0-396.9)
176204061	110040	88092000	1	1	1	4974053	31		IFA: Neuralgic amyotrophy
176545069	110040	93924008	1	1	1	4037052	11		OTHERWISE
171891068	110040	249915009	2	1	2	1538052	11		OTHERWISE
173624063	110040	396228006	2	1	2	1377051	31		IFA: Keratosis,arsenical
175390068	110040	72047008	1	1	1	7161053	11		OTHERWISE
172053069	110040	26174007	1	1	1	947056	11		OTHERWISE
174184068	110040	45913009	1	1	1	1006051	11		OTHERWISE
49707061	110040	237751000	2	1	2	4597059	31		IFA: Isosexual virilization
175783062	110040	79883001	5	1	5	4597059	31		IFA: Stein-Leventhal syndrome
173428065	110040	372139008	1	1	1	3958054	11		OTHERWISE
171435065	110040	197663003	10	1	10	6670057	32		IFA: Renal disease,arising in pregnancy or the puerperium (646.2x)
175423060	110040	72892002	1	1	1	2797058	11		OTHERWISE
49958067	110040	237939006	1	1	1	4630053	11		OTHERWISE
174046060	110040	43064006	3	1	3	1164050	11		OTHERWISE
173307063	110040	367399005	1	1	1	4978051	11		OTHERWISE
152433062	110040	85232009	1	1	1	5799054	11		OTHERWISE
174495069	110040	53417006	3	1	3	301059	31		IFA: Articular cartilage disorder: in ochronosis
173555064	110040	389098007	11	1	11	1788055	32		IFA: That of newborn (768.0-768.9)
175081069	110040	65576009	1	1	1	4400051	31		IFA: Adenomatous polyp of cervix
44657063	110040	232343007	8	1	8	1002053	11		OTHERWISE
162928067	110040	95821001	1	2	1	929054	12		OTHERWISE
12686065	110040	15188001	1	1	1	929054	12		OTHERWISE
174676065	110040	57773001	2	1	2	5909053	31		IFA: Prolapsed hemorrhoids - External hemorrhoids with other complication
173673066	110040	399872003	4	1	4	9547258058	31		IFA: Nonclinical diabetes
3870065	110040	111406002	3	1	3	1158056	11		OTHERWISE
173231069	110040	36118008	1	1	1	7580057	31		IFA: Pneumothorax,congenital
12094060	110040	13680009	2	1	2	1361050	11		OTHERWISE
172004069	110040	25569003	1	1	1	966056	11		OTHERWISE
174988065	110040	63871009	4	1	4	1221052	11		OTHERWISE
171880062	110040	249785006	1	1	1	1648056	11		OTHERWISE
171618060	110040	229665008	3	1	3	1905052	11		OTHERWISE
101369063	110040	30140009	4	1	4	3260055	11		OTHERWISE
175653060	110040	77480004	1	1	1	7385053	11		OTHERWISE
10733067	110040	128474007	1	1	1	4438050	11		OTHERWISE
171094060	110040	1239002	2	1	2	7422052	31		IFA: Congenital dislocation of hip,bilateral
171420069	110040	196001008	6	1	6	6007059	31		IFA: Chronic obstructive lung disease (COPD) specified,emphysema (492.0-492.8)
172940068	110040	308067002	2	1	2	9555111051	11		OTHERWISE
13124062	110040	160357008	1	1	1	9554979051	11		OTHERWISE
13089066	110040	160314003	1	1	1	9554978056	11		OTHERWISE
171675068	110040	230746009	4	1	4	9570403050	31		IFA: Normal pressure hydrocephalus
175426067	110040	72925005	1	1	1	7386054	11		OTHERWISE
10612068	110040	128276007	2	1	2	6826050	11		OTHERWISE
172831068	110040	301706005	2	1	2	6826050	11		OTHERWISE
173312062	110040	367466007	1	1	1	1451057	12		OTHERWISE
171819069	110040	245867000	2	1	2	7215055	11		OTHERWISE
47781065	110040	236069009	1	1	1	1112057	11		OTHERWISE
33280068	110040	209557005	3	1	3	2296050	11		OTHERWISE
12267065	110040	14094001	1	1	1	6664050	12		OTHERWISE
21051068	110040	18773000	1	1	1	6664050	32		IFA: Excessive vomiting in pregnancy (643.0x-643.9x)
50982061	110040	238793001	1	1	1	9536072053	12		OTHERWISE
44873066	110040	23360000	1	1	1	5030059	11		OTHERWISE
170297066	110040	89419008	2	1	2	1833051	11		OTHERWISE
6676066	110040	125607007	1	1	1	2121058	11		OTHERWISE
171268061	110040	161450003	8	1	8	9555057050	31		IFA: Personal history of allergy to latex
171231064	110040	15993004	4	1	4	6059052	31		IFA: Respiratory distress,adult
174562062	110040	55442000	4	1	4	6059052	31		IFA: Respiratory distress,adult
175202068	110040	67750007	4	1	4	6059052	31		IFA: Respiratory distress,adult
172710063	110040	29596007	1	1	1	6059052	31		IFA: Respiratory distress,following tauma and surgery
176130068	110040	86708008	3	1	3	6833050	32		IFA: Seborrheic,dermatitis
173201064	110040	35874009	4	1	4	1343059	32		IFA: Cesarean delivery (669.7x)
176233060	110040	88889000	2	1	2	9553692057	11		OTHERWISE
174586060	110040	55985003	1	1	1	9553699053	12		OTHERWISE
155394061	110040	91935009	2	1	2	9555445054	31		IFA: Allergy to existing dental restorative materials
151007062	110040	81996005	1	1	1	9553678050	12		OTHERWISE
115840063	110040	3754002	3	1	3	9554999058	31		IFA: Vaginal intraepithelia neoplasiz III (VAIN III)
115642067	110040	373662000	1	1	1	9554970050	11		OTHERWISE
175019063	110040	64665009	1	1	1	2230059	11		OTHERWISE
50854068	110040	238699007	1	1	1	1442052	11		OTHERWISE
22481066	110040	191216004	1	1	1	4692055	12		OTHERWISE
174935060	110040	6285003	2	1	2	5789057	31		IFA: Paroxysmal supraventricular tachycardia
175777060	110040	79740000	1	1	1	3738059	11		OTHERWISE
43406061	110040	230577008	3	2	3	694054	12		OTHERWISE
172321069	110040	271809000	4	1	4	6658056	32		IFA: Edema of,pregnancy (642.0x-642.9x) - Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care
153324069	110040	87317003	12	1	12	9542088053	31		IFA: Respiratory failure (518.81, 518.83-518.84) - Acute and chronic respiratory failure
172256066	110040	26947005	1	1	1	8471058	11		OTHERWISE
112066	110040	10050004	1	1	1	8682057	11		OTHERWISE
32289062	110040	208241000	1	1	1	7811059	11		OTHERWISE
18985061	110040	17133001	2	1	2	804057	31		IFA: Eyelid
174441060	110040	52448006	1	1	1	558059	31		IFA: Mild memory disturbances not amounting to dementia
12913066	110040	15662003	1	1	1	558059	31		IFA: Mild memory disturbances not amounting to dementia
174267066	110040	48167000	1	1	1	558059	31		IFA: Mild memory disturbance due to organic brain damage
19136060	110040	17382005	1	1	1	6706057	12		OTHERWISE
4080060	110040	111591002	1	1	1	1017052	11		OTHERWISE
172516065	110040	280982009	1	1	1	498055	32		IFA: Alcohol dependence syndrome (303.0x-303.9x)
1958064	110040	109363001	7	1	7	6044059	11		OTHERWISE
11907061	110040	13438001	2	1	2	427058	32		IFA: Anxiety states (300.00-300.09)
173680068	110040	401314000	1	1	1	5731050	12		OTHERWISE
173000069	110040	31515003	3	1	3	7578050	31		IFA: Respiratory distress,syndrome,newborn
175415062	110040	72863001	3	1	3	7578050	31		IFA: Respiratory distress,syndrome,newborn
107381065	110040	31996006	5	1	5	981054	32		IFA: Obliterans
176146061	110040	87317003	3	1	3	1935058	31		IFA: Respiratory distress,NOS
13053064	110040	15993004	9	1	9	1935058	11		OTHERWISE
106803066	110040	31515003	9	1	9	1935058	11		OTHERWISE
171514066	110040	204962002	2	1	2	7404054	32		IFA: Congenital cyst of kidney (753.1x)
166806068	110040	254626006	1	1	1	3988058	12		OTHERWISE
173556063	110040	389098007	12	1	12	9545815051	32		IFA: That of newborn (772.1x)
176646062	110040	95319004	1	1	1	331052	31		IFA: Localized adiposity
151199068	110040	82385007	1	1	1	5896054	11		OTHERWISE
19137068	110040	17383000	1	1	1	2607056	11		OTHERWISE
171587067	110040	22234005	9	1	9	2229051	32		IFA: That involving ankle (824.0-824.9)
127022060	110040	413428007	1	1	1	1649051	11		OTHERWISE
105350063	110040	3110003	1	1	1	895053	12		OTHERWISE
175067067	110040	65363002	1	1	1	895053	12		OTHERWISE
34578068	110040	21186006	1	1	1	895053	12		OTHERWISE
3866063	110040	111405003	2	1	2	6409050	31		IFA: Ureteritis cystica
5314062	110040	12026006	1	1	1	5790053	12		OTHERWISE
167045066	110040	269533000	1	1	1	3951056	12		OTHERWISE
170742063	110040	93761005	1	1	1	3951056	12		OTHERWISE
171549060	110040	208929003	1	1	1	9536768058	11		OTHERWISE
173910064	110040	41608004	2	1	2	2238053	11		OTHERWISE
18131060	110040	168734001	1	1	1	2033052	11		OTHERWISE
171021064	110040	10890000	1	1	1	1076052	12		OTHERWISE
10530068	110040	128200000	1	1	1	646050	11		OTHERWISE
45754066	110040	23407003	1	1	1	7175059	31		IFA: Pes planus acquired
12917067	110040	15662003	5	1	5	4714052	11		OTHERWISE
172511061	110040	280816001	1	1	1	679050	11		OTHERWISE
28984063	110040	202733008	1	1	1	7029052	11		OTHERWISE
175175064	110040	67224007	1	1	1	3705050	20		UAC
175180067	110040	67359005	1	1	1	6657053	11		OTHERWISE
144784065	110040	67362008	1	1	1	5849059	12		OTHERWISE
175184064	110040	67374007	4	1	4	4654056	32		IFA: Chondrocalcinosis (275.4x)
173829065	110040	41040004	1	1	1	1756050	11		OTHERWISE
126572060	110040	4107000	1	1	1	1188052	12		OTHERWISE
173838067	110040	41174002	3	1	3	4707050	31		IFA: Lymphadenitis,mesenteric acute chronic subacute
173843061	110040	41256004	1	1	1	745057	11		OTHERWISE
173846068	110040	41291007	3	1	3	1438054	32		IFA: Urticaria (708.0 - 708.9)
173847060	110040	41291007	4	1	4	1749057	31		IFA: Congenital pigmentary anomalies of skin
126747063	110040	41308008	1	1	1	3545057	31		IFA: Conjunctivitis adenoviral  acute follicular
126752067	110040	41308008	6	1	6	3544058	31		IFA: Pharyngoconjunctival fever
127005062	110040	413340008	1	1	1	9556222050	11		OTHERWISE
173851063	110040	41341006	1	1	1	7059055	11		OTHERWISE
173852069	110040	41345002	1	1	1	6386058	31		IFA: Celiac rickets
127062061	110040	413533008	1	1	1	9534698056	31		IFA: acute posthemorrhagic anemia
127063065	110040	413533008	2	1	2	4675051	11		OTHERWISE
127098068	110040	413603009	4	1	4	7602056	31		IFA: hemolytic disease of newborn 773.0-773.5 Kernicterus due to isoimmunization of fetus or newborn
127155066	110040	413839001	1	1	1	1039054	11		OTHERWISE
173857064	110040	413877007	10	1	10	9549926052	12		OTHERWISE
173860065	110040	413877007	4	1	4	7907051	31		IFA: Ankle, Open
173863067	110040	413877007	7	1	7	2226057	31		IFA: Pott's fracture, Closed
173864062	110040	413877007	8	1	8	7907051	31		IFA: Pott's fracture, Open
169097068	110040	41413006	1	1	1	4964050	31		IFA: Atypical face pain
127308069	110040	414173003	1	1	1	5088058	11		OTHERWISE
173869066	110040	414293001	10	1	10	9549926052	12		OTHERWISE
173870067	110040	414293001	2	1	2	7907051	31		IFA: Dupuytren's fracture, Open
173872060	110040	414293001	4	1	4	7907051	31		IFA: Ankle, Open
127471064	110040	414564002	1	1	1	1649051	11		OTHERWISE
127475067	110040	414581006	3	1	3	1028051	11		OTHERWISE
173888060	110040	414667000	1	1	1	7486053	31		IFA: Spina bifida occulta
173889067	110040	414667000	2	1	2	1660055	12		OTHERWISE
127596063	110040	414916001	1	1	1	328051	12		OTHERWISE
127618065	110040	414952002	1	1	1	4451058	31		IFA: Carcinoma in situ (230.0
173890064	110040	41497008	1	1	1	9536542054	12		OTHERWISE
127642069	110040	415076002	1	1	1	9553407051	11		OTHERWISE
127643060	110040	415077006	1	1	1	9553404057	11		OTHERWISE
127646067	110040	415079009	1	1	1	9553408059	12		OTHERWISE
173893062	110040	415081006	2	1	2	9553412052	11		OTHERWISE
127653064	110040	415086001	1	1	1	9553411058	11		OTHERWISE
173895068	110040	415251008	1	1	1	6286056	11		OTHERWISE
173896069	110040	415297005	1	1	1	9554018051	11		OTHERWISE
173902060	110040	41565005	1	1	1	9553665050	12		OTHERWISE
127883065	110040	416010008	1	1	1	7398057	11		OTHERWISE
127889069	110040	416030007	1	1	1	9550218052	11		OTHERWISE
127892068	110040	416033009	1	1	1	9550219057	11		OTHERWISE
127917063	110040	416098002	1	1	1	9553710058	11		OTHERWISE
128008063	110040	416377005	1	1	1	1748052	11		OTHERWISE
128130064	110040	416675009	1	1	1	6816056	12		OTHERWISE
128314061	110040	417018008	1	1	1	9550160056	12		OTHERWISE
128386068	110040	417163006	1	1	1	2376057	12		OTHERWISE
173920068	110040	417279003	1	1	1	9554726052	20		UAC
173921067	110040	417357006	1	1	1	4688054	11		OTHERWISE
128475065	110040	417373000	2	1	2	6936056	12		OTHERWISE
128639062	110040	417746004	1	1	1	2376057	12		OTHERWISE
173928062	110040	41832009	1	1	1	406050	32		IFA: Circular type, if there was a previous attack of depression (296.4x)
173929069	110040	41832009	2	1	2	445058	31		IFA: Neurotic depression
173930060	110040	41832009	3	1	3	422051	31		IFA: Reactive depressive psychosis
169152063	110040	418648005	2	1	2	9325056	31		IFA: Heat syncope
173936065	110040	41888000	1	1	1	1063059	12		OTHERWISE
129191066	110040	418925002	1	1	1	9553710058	31		IFA: Allergic reaction NOS to correct medicinal substance properly administered
173944065	110040	419193008	1	1	1	9536075050	11		OTHERWISE
173946067	110040	419284004	2	1	2	1821059	31		IFA: Coma
173947064	110040	419284004	3	1	3	1824054	31		IFA: Transient alteration of awareness
173949061	110040	419284004	5	1	5	1825050	31		IFA: Other alteration of consciousness
173950061	110040	419284004	6	1	6	1825050	31		IFA: Delirium NOS
173953064	110040	419455006	2	1	2	1038059	31		IFA: Pulmonary eosinophilia
129611066	110040	419760006	1	1	1	1240059	31		IFA: Noninfective leukorrhea
129612060	110040	419760006	2	1	2	6569050	31		IFA: Postmenopausal or senile vaginitis
173960069	110040	419952004	1	1	1	4450057	12		OTHERWISE
173963066	110040	419958000	3	1	3	1068050	31		IFA: Developmental odontogenic cysts
173964061	110040	419958000	4	1	4	4343055	31		IFA: Mucosa of lips
173967067	110040	420054005	1	1	1	6337055	11		OTHERWISE
173975062	110040	42116007	1	1	1	6528059	11		OTHERWISE
130368061	110040	421365002	1	1	1	9534524059	11		OTHERWISE
169221067	110040	421365002	1	2	1	9555501052	11		OTHERWISE
130614061	110040	421893009	8	2	8	1276058	32		IFA: Renal disease arising in pregnancy or the puerperium (eclampsia)
173985061	110040	422088007	3	1	3	7611056	31		IFA: Neonatal diabetes mellitus
173987068	110040	422088007	5	1	5	4571052	12		OTHERWISE
130733063	110040	422099009	1	1	1	4569052	11		OTHERWISE
163415063	110040	422504002	1	1	1	5823051	12		OTHERWISE
173991064	110040	422782004	1	1	1	4062052	20		UAC
131070067	110040	42343007	2	1	2	5798059	12		OTHERWISE
173994066	110040	423628002	1	1	1	9554006055	12		OTHERWISE
173995067	110040	42386007	1	1	1	3767058	11		OTHERWISE
164731063	110040	423973006	1	1	1	4057051	12		OTHERWISE
173996068	110040	42399005	10	1	10	1997050	31		IFA: Uremia extrarenal
173997060	110040	42399005	11	1	11	1997050	31		IFA: Uremia prerenal
174000060	110040	42399005	3	1	3	6585058	32		IFA: That complicating,abortion (634 with .3x)
174001061	110040	42399005	4	1	4	6595052	32		IFA: That complicating,abortion (635 with .3x)
174003063	110040	42399005	6	1	6	6615055	32		IFA: That complicating,abortion (637 with .3x)
